,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
11,22,11,ECS,C2,11,LNX,OD,MO," SAR 1,580.25 ",,ECS,C2,11,WIN,OD,MO," SAR 2,589.82 ",,ECS,C2,11,RH,OD,MO," SAR 2,621.45 "
12,24,12,ECS,C2,12,LNX,OD,MO," SAR 1,723.91 ",,ECS,C2,12,WIN,OD,MO," SAR 2,825.26 ",,ECS,C2,12,RH,OD,MO," SAR 2,765.11 "
13,26,13,ECS,C2,13,LNX,OD,MO," SAR 1,867.57 ",,ECS,C2,13,WIN,OD,MO," SAR 3,060.70 ",,ECS,C2,13,RH,OD,MO," SAR 2,908.77 "
14,28,14,ECS,C2,14,LNX,OD,MO," SAR 2,011.23 ",,ECS,C2,14,WIN,OD,MO," SAR 3,296.14 ",,ECS,C2,14,RH,OD,MO," SAR 3,052.43 "
15,30,15,ECS,C2,15,LNX,OD,MO," SAR 2,154.89 ",,ECS,C2,15,WIN,OD,MO," SAR 3,531.58 ",,ECS,C2,15,RH,OD,MO," SAR 3,196.09 "
16,32,16,ECS,C2,16,LNX,OD,MO," SAR 2,298.54 ",,ECS,C2,16,WIN,OD,MO," SAR 3,767.02 ",,ECS,C2,16,RH,OD,MO," SAR 3,339.74 "
17,34,17,ECS,C2,17,LNX,OD,MO," SAR 2,442.20 ",,ECS,C2,17,WIN,OD,MO," SAR 4,002.45 ",,ECS,C2,17,RH,OD,MO," SAR 3,483.40 "
18,36,18,ECS,C2,18,LNX,OD,MO," SAR 2,585.86 ",,ECS,C2,18,WIN,OD,MO," SAR 4,237.89 ",,ECS,C2,18,RH,OD,MO," SAR 3,627.06 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:8),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,8,ECS,M1,8,LNX,OD,MO, SAR 190.37 ,,ECS,M1,8,WIN,OD,MO, SAR 301.41 ,,ECS,M1,8,RH,OD,MO, SAR 537.57 
2,2,16,ECS,M1,16,LNX,OD,MO, SAR 380.74 ,,ECS,M1,16,WIN,OD,MO, SAR 602.82 ,,ECS,M1,16,RH,OD,MO, SAR 727.94 
3,4,32,ECS,M1,32,LNX,OD,MO, SAR 761.49 ,,ECS,M1,32,WIN,OD,MO," SAR 1,205.63 ",,ECS,M1,32,RH,OD,MO," SAR 1,108.69 "
4,6,48,ECS,M1,48,LNX,OD,MO," SAR 1,142.23 ",,ECS,M1,48,WIN,OD,MO," SAR 1,808.45 ",,ECS,M1,48,RH,OD,MO," SAR 1,489.43 "
5,8,64,ECS,M1,64,LNX,OD,MO," SAR 1,522.98 ",,ECS,M1,64,WIN,OD,MO," SAR 2,411.27 ",,ECS,M1,64,RH,OD,MO," SAR 1,870.18 "
6,10,80,ECS,M1,80,LNX,OD,MO," SAR 1,903.72 ",,ECS,M1,80,WIN,OD,MO," SAR 3,014.09 ",,ECS,M1,80,RH,OD,MO," SAR 2,250.92 "
7,12,96,ECS,M1,96,LNX,OD,MO," SAR 2,284.46 ",,ECS,M1,96,WIN,OD,MO," SAR 3,616.90 ",,ECS,M1,96,RH,OD,MO," SAR 2,631.66 "
8,14,112,ECS,M1,112,LNX,OD,MO," SAR 2,665.21 ",,ECS,M1,112,WIN,OD,MO," SAR 4,219.72 ",,ECS,M1,112,RH,OD,MO," SAR 3,012.41 "
9,16,128,ECS,M1,128,LNX,OD,MO," SAR 3,045.95 ",,ECS,M1,128,WIN,OD,MO," SAR 4,822.54 ",,ECS,M1,128,RH,OD,MO," SAR 3,393.15 "
10,18,144,ECS,M1,144,LNX,OD,MO," SAR 3,426.70 ",,ECS,M1,144,WIN,OD,MO," SAR 5,425.35 ",,ECS,M1,144,RH,OD,MO," SAR 4,193.90 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,4,ECS,G1,4,LNX,1Y,NU, SAR 101.18 ,,ECS,G1,4,WIN,1Y,NU, SAR 212.08 ,,ECS,G1,4,RH,1Y,NU, SAR 401.26 
2,2,8,ECS,G1,8,LNX,1Y,NU, SAR 202.36 ,,ECS,G1,8,WIN,1Y,NU, SAR 424.16 ,,ECS,G1,8,RH,1Y,NU, SAR 502.44 
3,4,16,ECS,G1,16,LNX,1Y,NU, SAR 404.72 ,,ECS,G1,16,WIN,1Y,NU, SAR 848.31 ,,ECS,G1,16,RH,1Y,NU, SAR 704.80 
4,6,24,ECS,G1,24,LNX,1Y,NU, SAR 607.08 ,,ECS,G1,24,WIN,1Y,NU," SAR 1,272.47 ",,ECS,G1,24,RH,1Y,NU, SAR 907.16 
5,8,32,ECS,G1,32,LNX,1Y,NU, SAR 809.44 ,,ECS,G1,32,WIN,1Y,NU," SAR 1,696.62 ",,ECS,G1,32,RH,1Y,NU," SAR 1,109.52 "
6,10,40,ECS,G1,40,LNX,1Y,NU," SAR 1,011.80 ",,ECS,G1,40,WIN,1Y,NU," SAR 2,120.78 ",,ECS,G1,40,RH,1Y,NU," SAR 1,311.88 "
7,12,48,ECS,G1,48,LNX,1Y,NU," SAR 1,214.16 ",,ECS,G1,48,WIN,1Y,NU," SAR 2,544.94 ",,ECS,G1,48,RH,1Y,NU," SAR 1,514.24 "
8,14,56,ECS,G1,56,LNX,1Y,NU," SAR 1,416.52 ",,ECS,G1,56,WIN,1Y,NU," SAR 2,969.09 ",,ECS,G1,56,RH,1Y,NU," SAR 1,716.60 "
9,16,64,ECS,G1,64,LNX,1Y,NU," SAR 1,618.88 ",,ECS,G1,64,WIN,1Y,NU," SAR 3,393.25 ",,ECS,G1,64,RH,1Y,NU," SAR 1,918.96 "
10,18,72,ECS,G1,72,LNX,1Y,NU," SAR 1,821.24 ",,ECS,G1,72,WIN,1Y,NU," SAR 3,817.40 ",,ECS,G1,72,RH,1Y,NU," SAR 2,484.32 "
11,20,80,ECS,G1,80,LNX,1Y,NU," SAR 2,023.60 ",,ECS,G1,80,WIN,1Y,NU," SAR 4,241.56 ",,ECS,G1,80,RH,1Y,NU," SAR 2,686.68 "
12,22,88,ECS,G1,88,LNX,1Y,NU," SAR 2,225.96 ",,ECS,G1,88,WIN,1Y,NU," SAR 4,665.72 ",,ECS,G1,88,RH,1Y,NU," SAR 2,889.04 "
13,24,96,ECS,G1,96,LNX,1Y,NU," SAR 2,428.32 ",,ECS,G1,96,WIN,1Y,NU," SAR 5,089.87 ",,ECS,G1,96,RH,1Y,NU," SAR 3,091.40 "
14,26,104,ECS,G1,104,LNX,1Y,NU," SAR 2,630.69 ",,ECS,G1,104,WIN,1Y,NU," SAR 5,514.03 ",,ECS,G1,104,RH,1Y,NU," SAR 3,293.77 "
15,28,112,ECS,G1,112,LNX,1Y,NU," SAR 2,833.05 ",,ECS,G1,112,WIN,1Y,NU," SAR 5,938.18 ",,ECS,G1,112,RH,1Y,NU," SAR 3,496.13 "
16,30,120,ECS,G1,120,LNX,1Y,NU," SAR 3,035.41 ",,ECS,G1,120,WIN,1Y,NU," SAR 6,362.34 ",,ECS,G1,120,RH,1Y,NU," SAR 3,698.49 "
17,32,128,ECS,G1,128,LNX,1Y,NU," SAR 3,237.77 ",,ECS,G1,128,WIN,1Y,NU," SAR 6,786.50 ",,ECS,G1,128,RH,1Y,NU," SAR 3,900.85 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:2),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,2,ECS,G2,2,LNX,1Y,NU, SAR 74.67 ,,ECS,G2,2,WIN,1Y,NU, SAR 170.03 ,,ECS,G2,2,RH,1Y,NU, SAR 397.07 
2,2,4,ECS,G2,4,LNX,1Y,NU, SAR 149.34 ,,ECS,G2,4,WIN,1Y,NU, SAR 340.05 ,,ECS,G2,4,RH,1Y,NU, SAR 471.74 
3,4,8,ECS,G2,8,LNX,1Y,NU, SAR 298.69 ,,ECS,G2,8,WIN,1Y,NU, SAR 680.11 ,,ECS,G2,8,RH,1Y,NU, SAR 621.09 
4,6,12,ECS,G2,12,LNX,1Y,NU, SAR 448.03 ,,ECS,G2,12,WIN,1Y,NU," SAR 1,020.16 ",,ECS,G2,12,RH,1Y,NU, SAR 770.43 
5,8,16,ECS,G2,16,LNX,1Y,NU, SAR 597.38 ,,ECS,G2,16,WIN,1Y,NU," SAR 1,360.22 ",,ECS,G2,16,RH,1Y,NU, SAR 919.78 
6,10,20,ECS,G2,20,LNX,1Y,NU, SAR 746.72 ,,ECS,G2,20,WIN,1Y,NU," SAR 1,700.27 ",,ECS,G2,20,RH,1Y,NU," SAR 1,069.12 "
